City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Atuona,-9.8,-139.0333,77.72,73,44,19.62,PF,1632174982
Batemans Bay,-35.7167,150.1833,50.13,50,12,7.76,AU,1632174983
Mataura,-46.1927,168.8643,45.37,97,100,0.96,NZ,1632174983
Hithadhoo,-0.6,73.0833,82.99,73,84,11.45,MV,1632174983
Nikolskoye,59.7035,30.7861,44.49,73,97,7.65,RU,1632174984
Faanui,-16.4833,-151.75,78.75,70,27,12.12,PF,1632174984
Beyneu,45.3167,55.2,61.41,37,75,13.38,KZ,1632174985
Invermere,50.5167,-116.0354,59.05,43,89,1.03,CA,1632174985
Carutapera,-1.195,-46.02,79.21,74,15,9.4,BR,1632174985
Egvekinot,66.3167,-179.1667,25.52,61,7,4.41,RU,1632174986
Albany,42.6001,-73.9662,70.41,69,25,5.3,US,1632174987
Meulaboh,4.1363,96.1285,75.09,89,94,2.21,ID,1632174987
Hobart,-42.8794,147.3294,46.26,57,75,12.66,AU,1632174988
Port Elizabeth,-33.918,25.5701,53.89,82,75,19.57,ZA,1632174988
Chara,56.9064,118.2631,43.47,74,21,0.69,RU,1632174989
Westport,41.1415,-73.3579,72.73,58,11,10.13,US,1632174949
Rikitea,-23.1203,-134.9692,74.05,76,7,14.58,PF,1632174989
Kapaa,22.0752,-159.319,82.72,69,75,13.8,US,1632174990
Cidreira,-30.1811,-50.2056,66.42,97,71,4.16,BR,1632174990
Kantang,7.4054,99.5156,75.02,93,98,2.77,TH,1632174991
Hilo,19.7297,-155.09,80.33,61,20,6.91,US,1632174755
Jamestown,42.097,-79.2353,76.64,69,75,8.05,US,1632174844
Port Alfred,-33.5906,26.891,56.57,65,16,28.68,ZA,1632174991
Lompoc,34.6391,-120.4579,91.54,53,6,6.85,US,1632174992
Maturin,9.75,-63.1767,81.84,76,100,5.06,VE,1632174993
Provideniya,64.3833,-173.3,33.91,64,0,6.71,RU,1632174993
Vaini,-21.2,-175.2,71.76,88,75,9.22,TO,1632174994
Ilulissat,69.2167,-51.1,22.89,73,100,5.3,GL,1632174994
Busselton,-33.65,115.3333,50.81,63,0,9.28,AU,1632174994
Saint-Philippe,-21.3585,55.7679,67.59,81,98,14.2,RE,1632174995
São Gabriel da Cachoeira,-0.1303,-67.0892,82.67,73,100,1.9,BR,1632174996
Saint Paul Harbor,57.79,-152.4072,52.45,67,78,14.41,US,1632174996
Aykhal,66.0,111.5,33.4,81,100,6.71,RU,1632174996
Richards Bay,-28.783,32.0377,66.96,84,99,16.42,ZA,1632174997
Mikkeli,61.6886,27.2723,37.51,87,75,3.44,FI,1632174741
Sur,22.5667,59.5289,84.61,68,1,10.6,OM,1632174998
Port Hardy,50.6996,-127.4199,55.58,88,90,16.11,CA,1632174998
Waingapu,-9.6567,120.2641,77.16,78,99,5.57,ID,1632174999
Mar del Plata,-38.0023,-57.5575,53.62,71,0,13.8,AR,1632174851
San Jose,37.3394,-121.895,90.28,16,20,6.91,US,1632174738
Sitka,57.0531,-135.33,55.29,82,90,10.36,US,1632175000
Guerrero,17.6667,-100.0,75.51,84,82,1.86,MX,1632175001
Usinsk,65.9939,57.5281,35.29,88,100,12.59,RU,1632175001
Ushuaia,-54.8,-68.3,46.06,66,90,9.22,AR,1632174894
Alyangula,-13.8483,136.4192,62.47,94,57,0.0,AU,1632175002
Ewo,-0.8725,14.8206,77.32,72,69,3.36,CG,1632175002
Markala,13.7021,-6.0659,85.15,54,54,8.9,ML,1632175003
Ribeira Grande,38.5167,-28.7,70.83,72,2,13.02,PT,1632175004
Lüderitz,-26.6481,15.1594,60.51,58,0,19.06,NA,1632175004
Varna,43.2167,27.9167,64.54,88,75,20.71,BG,1632175004
Bredasdorp,-34.5322,20.0403,47.52,76,5,5.75,ZA,1632175005
Gazli,40.1333,63.45,65.95,13,0,11.48,UZ,1632175005
Bluff,-46.6,168.3333,47.28,89,100,8.79,NZ,1632175006
Tabou,4.423,-7.3528,76.48,89,21,6.13,CI,1632175006
Punta Arenas,-53.15,-70.9167,53.71,62,75,33.38,CL,1632174773
Pisco,-13.7,-76.2167,64.45,72,10,10.36,PE,1632175007
Cruzeiro do Sul,-29.5128,-51.9853,73.89,96,68,1.99,BR,1632175007
Jining,35.405,116.5814,62.24,94,0,6.8,CN,1632175008
Kensington,-33.9167,151.2167,51.66,43,40,21.85,AU,1632175008
Dhārchula,29.85,80.5333,70.0,95,99,0.51,IN,1632175009
Fortuna,40.5982,-124.1573,67.12,59,1,16.11,US,1632175009
Lima,-12.0432,-77.0282,62.85,72,40,10.36,PE,1632174987
Paamiut,61.994,-49.6678,35.49,77,6,28.32,GL,1632175010
Puerto Ayora,-0.7393,-90.3518,78.76,81,91,11.68,EC,1632175010
Lorengau,-2.0226,147.2712,80.29,79,100,2.39,PG,1632175011
Hermanus,-34.4187,19.2345,52.36,65,4,5.48,ZA,1632175012
Barrow,71.2906,-156.7887,32.02,69,75,12.66,US,1632175012
Bac Giang,21.2667,106.2,77.07,92,4,2.35,VN,1632174758
Kuopio,62.8924,27.677,40.95,75,90,9.22,FI,1632175013
Avarua,-21.2078,-159.775,78.85,78,75,10.36,CK,1632175014
Fairbanks,64.8378,-147.7164,35.6,55,75,5.75,US,1632175014
Bethel,41.3712,-73.414,71.71,65,16,7.76,US,1632175015
Katiola,8.1333,-5.1,73.42,89,24,3.69,CI,1632175015
Port Lincoln,-34.7333,135.8667,52.3,64,91,14.25,AU,1632175016
Faya,18.3851,42.4509,69.91,30,1,3.06,SA,1632175016
Carnarvon,-24.8667,113.6333,57.27,47,0,5.75,AU,1632175017
